#meta:tz=Africa/Cairo|America/Adak|America/Anchorage|America/Boise|America/Chicago|America/Costa_Rica|America/Denver|America/Detroit|America/Hermosillo|America/Indiana/Indianapolis|America/Indiana/Knox|America/Indiana/Marengo|America/Indiana/Petersburg|America/Indiana/Tell_City|America/Indiana/Vevay|America/Indiana/Vincennes|America/Indiana/Winamac|America/Kentucky/Louisville|America/Kentucky/Monticello|America/Los_Angeles|America/Menominee|America/Moncton|America/New_York|America/Nome|America/North_Dakota/New_Salem|America/Panama|America/Phoenix|America/Puerto_Rico|America/St_Thomas|America/Tegucigalpa|Asia/Bahrain|Asia/Bangkok|Asia/Bishkek|Asia/Manila|Asia/Riyadh|Asia/Seoul|Asia/Tokyo|Australia/Darwin|Etc/GMT+11|Etc/GMT+12|Etc/GMT+5|Europe/Berlin|Europe/London|Europe/Madrid|Europe/Rome|Pacific/Chuuk|Pacific/Guam|Pacific/Honolulu|Pacific/Kwajalein|Pacific/Majuro|Pacific/Midway|Pacific/Palau|Pacific/Saipan;admin=---:---|AA:U.S. Armed Forces - Americas|AE:U.S. Armed Forces - Europe|AK:Alaska|AL:Alabama|AP:U.S. Armed Forces - Pacific|AR:Arkansas|AS:American Samoa|AZ:Arizona|CA:California|CO:Colorado|CT:Connecticut|DC:District of Columbia|DE:Delaware|FL:Florida|FM:Micronesia|GA:Georgia|GU:Guam|HI:Hawaii|IA:Iowa|ID:Idaho|IL:Illinois|IN:Indiana|KS:Kansas|KY:Kentucky|LA:Louisiana|MA:Massachusetts|MD:Maryland|ME:Maine|MH:Marshall Islands|MI:Michigan|MN:Minnesota|MO:Missouri|MP:Northern Mariana Islands|MS:Mississippi|MT:Montana|NC:North Carolina|ND:North Dakota|NE:Nebraska|NH:New Hampshire|NJ:New Jersey|NM:New Mexico|NV:Nevada|NY:New York|OH:Ohio|OK:Oklahoma|OR:Oregon|PA:Pennsylvania|PR:Puerto Rico|PW:Palau|RI:Rhode Island|SC:South Carolina|SD:South Dakota|TN:Tennessee|TX:Texas|UT:Utah|VA:Virginia|VI:U.S. Virgin Islands|VT:Vermont|WA:Washington|WI:Wisconsin|WV:West Virginia|WY:Wyoming;levels=State|County
Code,Name,Timezone,IsDefault,Admin1,Admin1Code
"00910","Fdez Juncos",27,false,48,48
"00910","Fernandez Juncos",27,false,48,48
"00911","San Juan",27,true,48,48
"00911","Santurce",27,false,48,48
"00912","San Juan",27,true,48,48
"00912","Santurce",27,false,48,48
"00913","San Juan",27,true,48,48
"00913","Isla Verde",27,false,48,48
"00913","Santurce",27,false,48,48
"00914","San Juan",27,true,48,48
"00914","Santurce",27,false,48,48
"00915","Santurce",27,false,48,48
"00915","Bo Obrero",27,false,48,48
"00915","San Juan",27,true,48,48
"00915","Barrio Obrero",27,false,48,48
"00916","San Juan",27,true,48,48
"00916","Barrio Obrero",27,false,48,48
"00916","Santurce",27,false,48,48
"00917","San Juan",27,true,48,48
"00917","Hato Rey",27,false,48,48
"00918","San Juan",27,true,48,48
"00919","San Juan",27,true,48,48
"00919","Hato Rey",27,false,48,48
"00920","Caparra",27,false,48,48
"00920","Pto Nuevo",27,false,48,48
"00920","Puerto Nuevo",27,false,48,48
"00920","Caparra Terrace",27,false,48,48
"00920","San Juan",27,true,48,48
"00920","Caparra Hills",27,false,48,48
"00920","Caparra Ter",27,false,48,48
"00921","San Juan",27,true,48,48
"00921","College Park",27,false,48,48
"00921","Pto Nuevo",27,false,48,48
"00921","Puerto Nuevo",27,false,48,48
"00921","Rio Piedras",27,false,48,48
"00922","Caparra Terrace",27,false,48,48
"00922","Caparra Hills",27,false,48,48
"00922","Caparra Ter",27,false,48,48
"00922","San Juan",27,true,48,48
"00922","Caparra",27,false,48,48
"00923","San Juan",27,true,48,48
"00924","San Juan",27,true,48,48
"00924","Rio Piedras",27,false,48,48
"00925","San Juan",27,true,48,48
"00925","Rio Piedras",27,false,48,48
"00926","San Juan",27,true,48,48
"00926","Cupey",27,false,48,48
"00926","Rio Piedras",27,false,48,48
"00927","San Juan",27,true,48,48
"00927","Rio Piedras",27,false,48,48
"00928","San Juan",27,true,48,48
"00928","Rio Piedras",27,false,48,48
"00929","Rio Piedras",27,false,48,48
"00929","San Juan",27,true,48,48
"00930","San Juan",27,true,48,48
"00930","Rio Piedras",27,false,48,48
"00930","San Jose",27,false,48,48
"00931","San Juan",27,true,48,48
"00931","Rio Piedras",27,false,48,48
"00933","San Juan",27,true,48,48
"00934","Fort Buchanan",27,true,48,48
"00935","San Juan",27,true,48,48
"00936","Santurce",27,false,48,48
"00936","San Jose",27,false,48,48
"00936","Rio Piedras",27,false,48,48
"00936","Old San Juan",27,false,48,48
"00936","Minillas",27,false,48,48
"00936","Cupey",27,false,48,48
"00936","Caparra",27,false,48,48
"00936","Barrio Obrero",27,false,48,48
"00936","San Juan",27,true,48,48
"00937","San Juan",27,true,48,48
"00939","San Juan",27,true,48,48
"00940","San Juan",27,true,48,48
"00940","Minillas",27,false,48,48
